,initial_losses,losses,initial_reduced_losses,reduced_losses
0,1219.7319982823478,1219.7319982823478,1108.8472711657707,1108.8472711657707
1,706.9442129991228,706.9442129991228,642.6765572719297,642.6765572719297
2,1205.558486326326,1205.558486326326,1095.96226029666,1095.96226029666
3,2571.0775404151027,2571.0775404151027,2337.343218559184,2337.343218559184
4,4636.269544323975,4636.269544323975,4214.790494839977,4214.790494839977
5,9602.390160366262,9602.390160366262,8729.445600332965,8729.445600332965
6,3835.7462939682487,3835.7462939682487,3487.0420854256804,3487.0420854256804
7,2212.572297133415,2212.572297133415,2011.4293610303769,2011.4293610303769
8,1735.5116420992256,1735.5116420992256,1577.7378564538412,1577.7378564538412
9,2770.839413572063,2770.839413572063,2518.944921429148,2518.944921429148
10,2389.6811135137996,2389.6811135137996,2172.437375921636,2172.437375921636
11,1252.7772090979172,1252.7772090979172,1138.8883719071973,1138.8883719071973
