,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general,,,,,,
0,366,-911.1600904,0.163021831,0.074171993,0.857754882,1.01410699,,,,,,
1,370,-890.6400904,0.181063755,0.078816436,0.829189616,1.097198737,,,,,average Te,Avg Ne
2,374,-870.1200904,0.16804979,0.082837704,0.75551018,0.957485804,,,,,0.224038764,0.127463138
3,378,-849.6000904,0.187984372,0.09353471,0.733836388,1.21761775,,,,,,
4,382,-829.0800904,0.209854488,0.089195196,0.855151915,0.829699157,,,,,,
5,386,-808.5600904,0.199921365,0.09657737,0.797101924,1.09269675,,,,,,
6,390,-788.0400904,0.204263972,0.099802589,0.837122095,1.178330727,,,,,,
7,394,-767.5200904,0.224520967,0.101926564,0.845268541,1.089717518,,,,,,
8,397,-752.1300904,0.208961693,0.107352081,0.857723014,0.87730203,,,,,,
9,401,-731.6100904,0.213314295,0.109086923,0.921315681,1.172630723,,,,,,
10,405,-711.0900904,0.20909066,0.117828632,0.879582575,0.988695653,,,,,,
11,409,-690.5700904,0.21662951,0.117584745,0.852348283,1.134940037,,,,,,
12,413,-670.0500904,0.214824813,0.123387299,0.940556376,1.251127695,,,,,,
13,417,-649.5300904,0.227897248,0.124942288,0.860468675,1.106249092,,,,,,
14,421,-629.0100904,0.236388222,0.13214182,0.867213579,1.301760082,,,,,,
15,425,-608.4900904,0.227718608,0.135344895,0.790670886,1.355236564,,,,,,
16,429,-587.9700904,0.223584834,0.1402978,0.904865475,0.99125333,,,,,,
17,433,-567.4500904,0.240949419,0.137023683,0.943382408,1.158968627,,,,,,
18,436,-552.0600904,0.232043084,0.138994078,0.945723783,1.14599775,,,,,,
19,440,-531.5400904,0.223006837,0.138020113,0.909728608,1.109076908,,,,,,
20,444,-511.0200904,0.220288545,0.140668232,0.954863685,1.281776354,,,,,,
21,448,-490.5000904,0.240528437,0.13402617,0.929064571,0.860935548,,,,,,
22,452,-469.9800904,0.240800731,0.138770338,0.86189097,1.11513165,,,,,,
23,456,-449.4600904,0.250117494,0.139360876,0.758755382,1.276063655,,,,,,
24,460,-428.9400904,0.217737912,0.14825754,0.933659699,1.014579299,,,,,,
25,464,-408.4200904,0.220713552,0.148174164,0.918334019,1.282795193,,,,,,
26,468,-387.9000904,0.232212657,0.14813687,0.867374614,1.336519777,,,,,,
27,471,-372.5100904,0.240956684,0.147604954,0.852047718,1.291395031,,,,,,
28,475,-351.9900904,0.23615737,0.146237287,0.745622959,1.241723408,,,,,,
29,479,-331.4700904,0.221453934,0.149893536,0.891349525,0.830840687,,,,,,
30,483,-310.9500904,0.238074317,0.149622844,0.909654164,1.031704065,,,,,,
31,487,-290.4300904,0.222067725,0.156546866,0.944369177,1.18458956,,,,,,
32,491,-269.9100904,0.234427148,0.153019775,0.893417428,0.977231265,,,,,,
33,495,-249.3900904,0.252004714,0.145877836,0.851690124,1.071722005,,,,,,
34,499,-228.8700904,0.233903546,0.152087274,0.835868665,1.229171797,,,,,,
35,503,-208.3500904,0.23742093,0.149860017,0.809803401,1.06046057,,,,,,
36,507,-187.8300904,0.249656674,0.150739858,0.819537148,1.315706049,,,,,,
37,510,-172.4400904,0.226839798,0.15662244,0.892207137,1.136375729,,,,,,
38,514,-151.9200904,0.229353588,0.155878445,0.904976281,0.994717969,,,,,,
39,518,-131.4000904,0.246621833,0.151585421,0.788312446,1.21445635,,,,,,
40,522,-110.8800904,0.263160844,0.144626525,0.88160779,1.056045036,,,,,,
41,526,-90.36009035,0.245483278,0.15152709,0.898759658,0.986729272,,,,,,
42,530,-69.84009035,0.247695506,0.146362513,0.849916169,1.277582618,,,,,,
43,534,-49.32009035,0.237400335,0.153767806,0.746412161,1.335967713,,,,,,
44,538,-28.80009035,0.252494619,0.148183451,0.834501529,1.162000899,,,,,,
45,542,-8.280090351,0.228735178,0.15156821,0.892419488,0.813053833,,,,,,
46,546,12.23990965,0.253787374,0.141304224,0.861382602,0.851311544,,,,,,
47,549,27.62990965,0.248788392,0.142229905,0.825232069,0.766536132,,,,,,
48,553,48.14990965,0.250430054,0.142676197,0.923110277,0.844530295,,,,,,
