,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general,,,,
0,329,-960.7845339,0.076338315,0.138778705,0.469730823,0.782766151,,,,Average Te
1,333,-940.2645339,0.15990961,0.046538772,0.633900893,0.477988624,,,,0.263420727
2,337,-919.7445339,0.09910874,0.254509303,0.247943993,0.282261681,,,,0.267808507
3,341,-899.2245339,0.071293577,0.170281229,0.229992219,0.229933863,,,,
4,345,-878.7045339,0.04509056,0.038611536,0.051491389,0.069311434,,,,
5,349,-858.1845339,0.024895646,0.038298018,0.112772134,0.043031704,,,,
6,353,-837.6645339,0.164033112,0.060202665,0.653076811,0.877516214,,,,
7,356,-822.2745339,0.168481226,0.064722733,0.642372203,0.837707514,,,,
8,360,-801.7545339,0.171745424,0.066622275,0.524740859,0.919483208,,,,
9,364,-781.2345339,0.163039323,0.07419959,0.730708132,0.969533557,,,,
10,368,-760.7145339,0.159110159,0.078889847,0.752751012,0.758886794,,,,
11,372,-740.1945339,0.164206733,0.083073065,0.751235095,0.911615687,,,,
12,376,-719.6745339,0.181314173,0.088230026,0.734575195,0.795755386,,,,
13,380,-699.1545339,0.185624203,0.092549031,0.710620338,0.780860515,,,,
14,384,-678.6345339,0.189349447,0.099412929,0.7453732,0.767492711,,,,
15,388,-658.1145339,0.209883872,0.099618618,0.724571869,0.694818626,,,,
16,392,-637.5945339,0.196688738,0.108994658,0.777765031,0.897831679,,,,
17,395,-622.2045339,0.2073744,0.109488374,0.702904111,0.695363137,,,,
18,399,-601.6845339,0.231970766,0.113616256,0.670364419,0.818227419,,,,
19,403,-581.1645339,0.240581592,0.115664253,0.65152057,0.723751868,,,,
20,407,-560.6445339,0.229404018,0.128080676,0.677591082,0.776681676,,,,
21,411,-540.1245339,0.256591704,0.130429877,0.698721409,1.013741435,,,,
22,415,-519.6045339,0.265808767,0.138354152,0.71394076,0.788197677,,,,
23,419,-499.0845339,0.265744251,0.146811089,0.688613902,0.702248029,,,,
24,423,-478.5645339,0.275130113,0.152824293,0.68289866,0.872801003,,,,
25,427,-458.0445339,0.271921862,0.159555419,0.655166406,0.786980045,,,,
26,431,-437.5245339,0.269107119,0.169087459,0.670295021,1.034932874,,,,
27,434,-422.1345339,0.275822294,0.169064233,0.69847308,1.064634287,,,,
28,438,-401.6145339,0.277500987,0.174791632,0.701835122,1.006056138,,,,
29,442,-381.0945339,0.283703455,0.177277853,0.640081923,1.063051212,,,,
30,446,-360.5745339,0.296580779,0.178010099,0.687658692,1.04975769,,,,
31,450,-340.0545339,0.292548001,0.182282561,0.705421328,1.040663592,,,,
32,454,-319.5345339,0.103081336,0.230872186,3.75,0.21947637,,,,
33,458,-299.0145339,0.142523702,0.225834776,0.703770356,2.862586483,,,,
34,462,-278.4945339,0.281283092,0.189461708,0.701142537,0.891495511,,,,
35,466,-257.9745339,0.30039274,0.185251078,0.650350103,1.017133109,,,,
36,470,-237.4545339,0.31119577,0.181273295,0.639253081,1.069918124,,,,
37,473,-222.0645339,0.302090369,0.184943798,0.632618008,1.06087559,,,,
38,477,-201.5445339,0.292576382,0.18905368,0.683920805,1.03568932,,,,
39,481,-181.0245339,0.30403099,0.186305695,0.647964872,1.010346851,,,,
40,485,-160.5045339,0.308504393,0.188235555,0.55700295,0.943223587,,,,
41,489,-139.9845339,0.292903898,0.191325145,0.610707022,0.952282356,,,,
42,493,-119.4645339,0.302781621,0.19027895,0.680699261,1.027248618,,,,
43,497,-98.94453386,0.294486696,0.192721444,0.58019255,0.988518952,,,,
