,initial_losses,losses,initial_reduced_losses,reduced_losses
0,1276.6984770091724,1276.6984770091724,1160.6349790992476,1160.6349790992476
1,12129.287837666625,12129.287837666625,11026.625306969658,11026.625306969658
2,14745.71633722674,14745.71633722674,13405.196670206127,13405.196670206127
3,9730.571423171286,9730.571423171286,8845.974021064805,8845.974021064805
4,6627.528897710142,6627.528897710142,6025.026270645583,6025.026270645583
5,4776.909175836751,4776.909175836751,4342.644705306137,4342.644705306137
6,3744.920003588778,3744.920003588778,3404.4727305352526,3404.4727305352526
7,2841.603237352574,2841.603237352574,2583.275670320522,2583.275670320522
8,2438.629888012942,2438.629888012942,2216.936261829947,2216.936261829947
9,2338.2588874474513,2338.2588874474513,2125.689897679501,2125.689897679501
