,lineout pixel,Radius (\mum),Te_electron,Ti_ion-1,lam_general,amp3_general,ud_general
0,111,-1200.6134179199998,1.2926939824683896,0.43139854951177403,531.6162816955837,3.7070198874069926,19.220870511733075
1,181,-999.0134179199998,1.9998710294248636,0.5099331840693004,531.1289646689993,3.7474667267785504,25.32610219123076
2,250,-800.2934179199998,0.21283241417079612,0.09006142597266861,531.6352435329871,3.334897617280229,6.167715918198315
3,320,-598.6934179199998,1.5524151216350173,0.16018853266019387,531.1696307268154,2.23600229940061,22.14832899676201
4,389,-399.97341791999975,0.5266224167935647,0.12043423617109182,531.6139130737407,0.9799913033108858,0.3686822694370697
5,458,-201.25341791999995,0.372311748351301,0.13620872669938602,531.5581040494567,2.4417144564018685,6.963631542937353
6,528,0.3465820800001893,0.2848247299443737,0.10486436393146405,531.5977281083179,3.1644806549808697,7.374772652010538
7,597,199.06658208000022,0.6066155258479525,0.039403201905272106,531.5089218147172,3.7286324293980995,11.627017502196093
8,667,400.6665820800001,0.3392017230978989,0.02030863197256702,531.5942456694142,1.9770550796647617,4.760736466165085
9,736,599.3865820800002,0.39838048864504616,0.16126227285240236,531.6695453174555,0.8074643812503199,6.17529091729622
