,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,329,-960.7845338550003,0.10688455843055318,0.31844407717174383,0.37121933168248455,0.6447570008991613
1,331,-950.5245338550003,0.16301396291859072,0.28808622483955515,0.2642940748455355,0.6383893532418837
2,333,-940.2645338550001,0.4617938984412478,0.030165161256154583,0.32300011030192166,0.039638348876900695
3,335,-930.0045338550001,1.9992865682567829,1.0862714355334082,3.6264964274729197,1.1461466671875915
4,337,-919.7445338550001,0.11741649923980642,0.36272410902689034,0.31196767395874475,0.40758451247089433
5,339,-909.4845338550001,0.029755898039178913,0.08336868355252627,0.29834783620727096,0.30366580249815095
6,341,-899.2245338550001,1.9996753198302113,1.1354808210223943,3.749999961357247,0.01
7,343,-888.9645338550001,1.9995741115242907,1.15186493181653,3.75,0.01
8,345,-878.7045338550001,0.6318560093671031,2.0,3.75,1.0609146051173963
9,347,-868.4445338550001,0.01,0.03,0.010000125929460512,0.010000017222184115
10,349,-858.1845338550002,0.06833591180972877,1.9187028363390146,0.04046222535621414,0.1523239718035557
11,351,-847.9245338550002,0.010445054665174256,0.03148879372771657,0.031741718052398324,0.11145028618218346
12,353,-837.6645338550002,1.9997932013800244,0.030383491609006344,0.23566171399098168,0.11077199809207054
13,354,-832.5345338550003,0.5387433417167292,0.03,0.30480783630610436,0.23505953115154898
14,356,-822.2745338550003,0.16524678704768553,0.06457163548158965,0.6697134077496071,0.8873725207881963
15,358,-812.0145338550001,0.16251430999045194,0.06957920217927538,0.6859992125164818,0.849672505420176
