,initial_losses,losses,initial_reduced_losses,reduced_losses
0,76.71573702049145,76.71573702049145,69.74157910953767,69.74157910953767
1,43.86064247325109,43.86064247325109,39.87331133931917,39.87331133931917
2,74.30657234414542,74.30657234414542,67.55142940376857,67.55142940376857
3,57.5157941447463,57.5157941447463,52.287085586132996,52.287085586132996
4,46.686710787825064,46.686710787825064,42.44246435256824,42.44246435256824
5,45.38402634315039,45.38402634315039,41.25820576650035,41.25820576650035
6,48.31146937266107,48.31146937266107,43.91951761151006,43.91951761151006
7,47.88262738565833,47.88262738565833,43.52966125968939,43.52966125968939
8,52.813010005232705,52.813010005232705,48.01182727748427,48.01182727748427
9,82.37318168272975,82.37318168272975,74.8847106206634,74.8847106206634
10,69.09598797011972,69.09598797011972,62.81453451829065,62.81453451829065
11,73.02613857161431,73.02613857161431,66.38739870146755,66.38739870146755
12,122.01873370827687,122.01873370827687,110.92612155297897,110.92612155297897
13,324.97426868367603,324.97426868367603,295.4311533487964,295.4311533487964
14,1037.8238975924812,1037.8238975924812,943.4762705386192,943.4762705386192
15,1994.744390627128,1994.744390627128,1813.4039914792072,1813.4039914792072
16,1412.3171076279273,1412.3171076279273,1283.9246432981156,1283.9246432981156
17,2504.2856268794158,2504.2856268794158,2276.6232971631052,2276.6232971631052
18,2979.782488283421,2979.782488283421,2708.8931711667465,2708.8931711667465
19,2596.6276154501984,2596.6276154501984,2360.57055950018,2360.57055950018
20,5066.074192879456,5066.074192879456,4605.521993526778,4605.521993526778
21,4651.481325818369,4651.481325818369,4228.619387107608,4228.619387107608
22,6237.043372291027,6237.043372291027,5670.039429355478,5670.039429355478
23,21519.969215508976,21519.969215508976,19563.608377735432,19563.608377735432
24,18870.219829166042,18870.219829166042,17154.745299241855,17154.745299241855
25,15086.001120599281,15086.001120599281,13714.546473272072,13714.546473272072
26,22262.514537939333,22262.514537939333,20238.649579944846,20238.649579944846
27,20562.178053692114,20562.178053692114,18692.8891397201,18692.8891397201
28,18172.26839724969,18172.26839724969,16520.243997499714,16520.243997499714
29,21859.815875962537,21859.815875962537,19872.55988723867,19872.55988723867
30,20020.6880830262,20020.6880830262,18200.62553002382,18200.62553002382
31,14739.705870289583,14739.705870289583,13399.732609354165,13399.732609354165
32,13763.316363924261,13763.316363924261,12512.105785385691,12512.105785385691
33,20729.006547223253,20729.006547223253,18844.551406566592,18844.551406566592
34,20227.76091984856,20227.76091984856,18388.873563498688,18388.873563498688
35,31137.679927186295,31137.679927186295,28306.98175198754,28306.98175198754
36,24567.846881722566,24567.846881722566,22334.406256111422,22334.406256111422
37,21982.41039429463,21982.41039429463,19984.009449358753,19984.009449358753
38,25344.811469564112,25344.811469564112,23040.73769960374,23040.73769960374
39,20789.486263215687,20789.486263215687,18899.532966559713,18899.532966559713
40,17810.169365526504,17810.169365526504,16191.063059569547,16191.063059569547
41,22950.565129218427,22950.565129218427,20864.150117471294,20864.150117471294
42,19821.839033997792,19821.839033997792,18019.85366727072,18019.85366727072
43,19046.04659746224,19046.04659746224,17314.587815874762,17314.587815874762
44,18348.74826049611,18348.74826049611,16680.680236814645,16680.680236814645
45,13670.150948361685,13670.150948361685,12427.409953056076,12427.409953056076
46,13054.522711962638,13054.522711962638,11867.747919966034,11867.747919966034
47,11376.519715571032,11376.519715571032,10342.290650519119,10342.290650519119
48,11368.731867822937,11368.731867822937,10335.210788929942,10335.210788929942
49,10484.735403698733,10484.735403698733,9531.57763972612,9531.57763972612
50,11616.413129672303,11616.413129672303,10560.375572429366,10560.375572429366
51,32358.759812190612,32358.759812190612,29417.054374718737,29417.054374718737
52,2003.528855323779,2003.528855323779,1821.3898684761625,1821.3898684761625
53,1175.7963456396062,1175.7963456396062,1068.9057687632783,1068.9057687632783
54,601.2354973508128,601.2354973508128,546.5777248643752,546.5777248643752
55,596.9344883314636,596.9344883314636,542.6677166649669,542.6677166649669
