,initial_losses,losses,initial_reduced_losses,reduced_losses
0,37561.47742722233,37561.47742722233,34146.7976611112,34146.7976611112
1,19695.18521889161,19695.18521889161,17904.713835356008,17904.713835356008
2,45083.52798023092,45083.52798023092,40985.02543657356,40985.02543657356
3,61774.704907114436,61774.704907114436,56158.8226428313,56158.8226428313
4,64478.0866548149,64478.0866548149,58616.44241346809,58616.44241346809
5,72850.58196793695,72850.58196793695,66227.80178903358,66227.80178903358
6,47260.579136099055,47260.579136099055,42964.162850999135,42964.162850999135
7,39227.29856403641,39227.29856403641,35661.18051276037,35661.18051276037
8,25441.12782420701,25441.12782420701,23128.298022006373,23128.298022006373
9,31560.063606031148,31560.063606031148,28690.966914573768,28690.966914573768
10,21368.417473544592,21368.417473544592,19425.83406685872,19425.83406685872
11,24143.10188076874,24143.10188076874,21948.27443706249,21948.27443706249
