,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,389,-399.973248,0.12,0.620812199,19.99893009,8.421510754,0.274118971,5.504743803
1,398,-374.053248,0.12,0.585007886,19.99770889,4.526941492,0.202579705,1
2,407,-348.133248,0.12,0.461536987,19.9980992,8.295640427,0.304675101,5.486685915
3,415,-325.093248,0.254294515,0.548935723,19.50864047,8.203343492,0.304145388,2.754186492
4,424,-299.173248,0.257407231,0.779604232,19.50794126,7.875647112,0.307641127,2.844013674
5,433,-273.253248,0.270864969,0.930083314,19.50731515,7.662082295,0.272645063,3.324592269
6,441,-250.213248,0.268153957,0.905253034,19.50533204,7.69516686,0.291357026,3.149879468
7,450,-224.293248,0.264921371,0.941637617,19.50576223,7.954814651,0.262097173,3.044294851
8,459,-198.373248,0.260256488,0.615531094,19.50601587,7.560492869,0.282978489,2.882516518
9,467,-175.333248,0.266374138,0.89412823,19.50628854,7.747784316,0.261613879,3.119535647
10,476,-149.413248,0.26590031,0.806998128,19.5047743,7.79252235,0.295584097,3.04430008
11,485,-123.493248,0.266299633,0.928926813,19.50593198,7.635281626,0.258860363,3.103310901
12,493,-100.453248,0.265806655,0.986153775,19.5054584,7.567903725,0.280430922,3.066962999
13,502,-74.533248,0.264380797,0.954267864,19.50525578,7.964855908,0.281748329,3.007360517
14,511,-48.613248,0.256403881,0.866259532,19.50495631,7.745490688,0.291433267,2.712508263
15,519,-25.573248,0.260332917,0.939213975,19.50567091,7.541398702,0.274759595,2.874253665
16,528,0.346752,0.257236469,0.972909096,19.50551198,7.567131793,0.272065733,2.759050283
17,537,26.266752,0.261965736,0.850191415,19.50743895,7.178223252,0.239117,2.995588209
18,546,52.186752,0.252842814,0.878279559,19.50540442,7.326645015,0.291452229,2.607858262
19,554,75.226752,0.250040026,0.863025444,19.5055307,7.32783166,0.292423296,2.521239253
20,563,101.146752,0.247913052,0.900866609,19.5057893,7.104436891,0.289501796,2.460015161
21,572,127.066752,0.237374816,0.875484623,19.50657244,7.081141612,0.308367056,2.151136733
22,580,150.106752,0.226731672,0.683060824,19.50655544,7.073412986,0.328055047,1.916872103
23,589,176.026752,0.2192841,0.585436156,19.50761605,6.569040296,0.306052536,1.802962849
24,598,201.946752,0.2136426,0.571962133,19.50678755,6.912985215,0.311634942,1.69220657
25,606,224.986752,0.210933885,0.664927907,19.50675579,6.979206474,0.300562643,1.613517058
26,615,250.906752,0.212990187,0.761913751,19.50633714,6.969812756,0.286906954,1.630196336
27,624,276.826752,0.19955817,0.640793093,19.50858567,7.154689666,0.286555843,1.308506805
28,632,299.866752,0.203254968,0.68080625,19.50896654,6.962207302,0.258596829,1.422164562
29,641,325.786752,0.204862705,0.74528367,19.50652276,7.398108308,0.262333762,1.542066807
30,650,351.706752,0.181569259,0.770464633,19.50949018,7.387095743,0.294923115,1.171891437
31,658,374.746752,0.198714738,0.625317738,19.50964496,7.785094578,0.263495581,1.407528511
32,667,400.666752,0.211729484,0.624914392,19.50812512,8.057012726,0.313983712,1.670908754
33,676,426.586752,0.126637803,0.732852508,19.51341055,5.695121437,0.853926737,1.003831568
34,684,449.626752,0.135124935,1.006939597,19.52728753,5.995116348,0.288032059,1.024335017
35,693,475.546752,0.121701767,0.718545021,19.69064849,5.133897335,0.122998682,1.043508051
